lk,population
Alb-Donau-Kreis,198204
Altmarkkreis Salzwedel,82687
Amberg,42052
Ansbach,41681
Aschaffenburg,70858
Augsburg,295830
Baden-Baden,55449
Bamberg,76674
Bayreuth,74048
Berlin,3664088
Bielefeld,333509
Bochum,364454
Bodenseekreis,217901
Bonn,330579
Bottrop,117388
Brandenburg an der Havel,72040
Braunschweig,248561
Bremen,566573
Bremerhaven,113557
Burgenlandkreis,177590
Chemnitz,244401
Coburg,40842
Cottbus,98693
Darmstadt,159174
Delmenhorst,77503
Dessau-Roßlau,79354
Donnersbergkreis,75539
Dortmund,587696
Dresden,556227
Duisburg,495885
Düsseldorf,620523
Eifelkreis Bitburg-Prüm,100055
Emden,49874
Ennepe-Ruhr-Kreis,323130
Enzkreis,199752
Erfurt,213692
Erlangen,112385
Erzgebirgskreis,331917
Essen,582415
Flensburg,89934
Frankenthal (Pfalz),48750
Frankfurt (Oder),57015
Frankfurt am Main,764104
Freiburg im Breisgau,230940
Fürth,128223
Gelsenkirchen,259105
Gera,92126
Hagen,188687
Halle (Saale),237865
Hamburg,1852478
Hamm,178967
Heidelberg,158741
Heilbronn,126458
Herne,156940
Hochsauerlandkreis,259030
Hochtaunuskreis,237281
Hof,45173
Hohenlohekreis,112765
Ilm-Kreis,105606
Ingolstadt,136952
Jena,110731
Kaiserslautern,99662
Karlsruhe,308436
Kassel,201048
Kaufbeuren,44662
Kempten (Allgäu),68940
Kiel,246601
Koblenz,113388
Köln,1083498
Krefeld,226844
Kreis Bergstraße,271015
Kreis Borken,371898
Kreis Coesfeld,220712
Kreis Dithmarschen,133251
Kreis Düren,265140
Kreis Euskirchen,194359
Kreis Groß-Gerau,275807
Kreis Gütersloh,364818
Kreis Heinsberg,256458
Kreis Herford,250547
Kreis Herzogtum Lauenburg,199152
Kreis Höxter,139729
Kreis Kleve,313586
Kreis Lippe,346970
Kreis Mettmann,484322
Kreis Minden-Lübbecke,310270
Kreis Nordfriesland,167147
Kreis Olpe,133362
Kreis Ostholstein,201487
Kreis Paderborn,308335
Kreis Pinneberg,317085
Kreis Plön,129353
Kreis Recklinghausen,613599
Kreis Rendsburg-Eckernförde,274765
Kreis Schleswig-Flensburg,202647
Kreis Segeberg,278007
Kreis Siegen-Wittgenstein,275491
Kreis Soest,301016
Kreis Steinburg,130706
Kreis Steinfurt,448197
Kreis Stormarn,244989
Kreis Unna,393618
Kreis Viersen,298536
Kreis Warendorf,277417
Kreis Wesel,460113
Kyffhäuserkreis,73522
Lahn-Dill-Kreis,253373
Landau in der Pfalz,46685
Landkreis Ahrweiler,130479
Landkreis Aichach-Friedberg,135024
Landkreis Altenburger Land,88356
Landkreis Altenkirchen,129087
Landkreis Altötting,111654
Landkreis Alzey-Worms,130715
Landkreis Amberg-Sulzbach,102998
Landkreis Ammerland,125643
Landkreis Anhalt-Bitterfeld,157217
Landkreis Ansbach,185316
Landkreis Aschaffenburg,174658
Landkreis Augsburg,255900
Landkreis Aurich,190178
Landkreis Bad Dürkheim,133004
Landkreis Bad Kissingen,103169
Landkreis Bad Kreuznach,158746
Landkreis Bad Tölz-Wolfratshausen,128212
Landkreis Bamberg,147497
Landkreis Barnim,187343
Landkreis Bautzen,298010
Landkreis Bayreuth,103679
Landkreis Berchtesgadener Land,106327
Landkreis Bernkastel-Wittlich,112685
Landkreis Biberach,202250
Landkreis Birkenfeld,80830
Landkreis Böblingen,392898
Landkreis Börde,170567
Landkreis Breisgau-Hochschwarzwald,264867
Landkreis Calw,160149
Landkreis Celle,179386
Landkreis Cham,128094
Landkreis Cloppenburg,172632
Landkreis Coburg,86571
Landkreis Cochem-Zell,61578
Landkreis Cuxhaven,198826
Landkreis Dachau,155117
Landkreis Dahme-Spreewald,173316
Landkreis Darmstadt-Dieburg,297701
Landkreis Deggendorf,119479
Landkreis Diepholz,218072
Landkreis Dillingen an der Donau,97172
Landkreis Dingolfing-Landau,97244
Landkreis Donau-Ries,134324
Landkreis Ebersberg,144091
Landkreis Eichsfeld,99463
Landkreis Eichstätt,133169
Landkreis Elbe-Elster,101085
Landkreis Emmendingen,166862
Landkreis Emsland,328930
Landkreis Erding,138891
Landkreis Erlangen-Höchstadt,138105
Landkreis Esslingen,533617
Landkreis Forchheim,116600
Landkreis Freising,180313
Landkreis Freudenstadt,118364
Landkreis Freyung-Grafenau,78355
Landkreis Friesland,98971
Landkreis Fulda,223023
Landkreis Fürstenfeldbruck,218740
Landkreis Fürth,118695
Landkreis Garmisch-Partenkirchen,88279
Landkreis Germersheim,129006
Landkreis Gießen,271667
Landkreis Gifhorn,177227
Landkreis Göppingen,258781
Landkreis Görlitz,250558
Landkreis Goslar,134688
Landkreis Gotha,134563
Landkreis Göttingen,323900
Landkreis Grafschaft Bentheim,137891
Landkreis Greiz,96668
Landkreis Günzburg,127342
Landkreis Hameln-Pyrmont,148580
Landkreis Harburg,256016
Landkreis Harz,210975
Landkreis Haßberge,84275
Landkreis Havelland,164693
Landkreis Heidekreis,140885
Landkreis Heidenheim,132812
Landkreis Heilbronn,346363
Landkreis Helmstedt,91518
Landkreis Hersfeld-Rotenburg,120304
Landkreis Hildburghausen,62656
Landkreis Hildesheim,275464
Landkreis Hof,94522
Landkreis Holzminden,70207
Landkreis Jerichower Land,89403
Landkreis Kaiserslautern,106320
Landkreis Karlsruhe,446852
Landkreis Kassel,237007
Landkreis Kelheim,123390
Landkreis Kitzingen,91696
Landkreis Konstanz,286876
Landkreis Kronach,66355
Landkreis Kulmbach,71428
Landkreis Kusel,70105
Landkreis Landsberg am Lech,121019
Landkreis Landshut,161191
Landkreis Leer,171483
Landkreis Leipzig,258386
Landkreis Lichtenfels,66722
Landkreis Limburg-Weilburg,172291
Landkreis Lindau,82085
Landkreis Lörrach,228842
Landkreis Lüchow-Dannenberg,48503
Landkreis Ludwigsburg,544971
Landkreis Ludwigslust-Parchim,211844
Landkreis Lüneburg,184235
Landkreis Main-Spessart,125976
Landkreis Mainz-Bingen,211525
Landkreis Mansfeld-Südharz,133690
Landkreis Marburg-Biedenkopf,245903
Landkreis Märkisch-Oderland,197195
Landkreis Mayen-Koblenz,214786
Landkreis Mecklenburgische Seenplatte,258057
Landkreis Meißen,240371
Landkreis Merzig-Wadern,103471
Landkreis Miesbach,100183
Landkreis Miltenberg,128743
Landkreis Mittelsachsen,301474
Landkreis Mühldorf am Inn,116483
Landkreis München,349685
Landkreis Neu-Ulm,175823
Landkreis Neuburg-Schrobenhausen,97730
Landkreis Neumarkt in der Oberpfalz,135225
Landkreis Neunkirchen,131172
Landkreis Neustadt an der Aisch-Bad Windsheim,101272
Landkreis Neustadt an der Waldnaab,94645
Landkreis Neuwied,183131
Landkreis Nienburg/Weser,121645
Landkreis Nordhausen,82456
Landkreis Nordsachsen,197444
Landkreis Nordwestmecklenburg,157975
Landkreis Northeim,131772
Landkreis Nürnberger Land,171143
Landkreis Oberallgäu,156308
Landkreis Oberhavel,214234
Landkreis Oberspreewald-Lausitz,108396
Landkreis Oder-Spree,179276
Landkreis Offenbach,356542
Landkreis Oldenburg,131467
Landkreis Osnabrück,359471
Landkreis Ostallgäu,141907
Landkreis Osterholz,114640
Landkreis Ostprignitz-Ruppin,98808
Landkreis Passau,193454
Landkreis Peine,135844
Landkreis Pfaffenhofen an der Ilm,129128
Landkreis Potsdam-Mittelmark,217954
Landkreis Prignitz,76096
Landkreis Rastatt,232091
Landkreis Ravensburg,285888
Landkreis Regen,77313
Landkreis Regensburg,194275
Landkreis Reutlingen,287497
Landkreis Rhön-Grabfeld,79510
Landkreis Rosenheim,261721
Landkreis Rostock,217072
Landkreis Rotenburg (Wümme),164486
Landkreis Roth,127168
Landkreis Rottal-Inn,121800
Landkreis Rottweil,140166
Landkreis Saalfeld-Rudolstadt,102139
Landkreis Saarlouis,193732
Landkreis Sächsische Schweiz-Osterzgebirge,244722
Landkreis Schaumburg,158406
Landkreis Schmalkalden-Meiningen,124241
Landkreis Schwäbisch Hall,197860
Landkreis Schwandorf,148477
Landkreis Schweinfurt,115652
Landkreis Sigmaringen,130946
Landkreis Sömmerda,69107
Landkreis Sonneberg,57044
Landkreis Spree-Neiße,113011
Landkreis St. Wendel,86458
Landkreis Stade,205357
Landkreis Starnberg,136610
Landkreis Stendal,110485
Landkreis Straubing-Bogen,101745
Landkreis Südliche Weinstraße,110783
Landkreis Südwestpfalz,94912
Landkreis Teltow-Fläming,171554
Landkreis Tirschenreuth,71696
Landkreis Traunstein,177485
Landkreis Trier-Saarburg,150533
Landkreis Tübingen,228471
Landkreis Tuttlingen,141682
Landkreis Uckermark,118250
Landkreis Uelzen,92566
Landkreis Unterallgäu,146164
Landkreis Vechta,143698
Landkreis Verden,137574
Landkreis Vorpommern-Greifswald,235773
Landkreis Vorpommern-Rügen,225383
Landkreis Vulkaneifel,60491
Landkreis Waldeck-Frankenberg,156528
Landkreis Waldshut,171237
Landkreis Weilheim-Schongau,136134
Landkreis Weimarer Land,82291
Landkreis Weißenburg-Gunzenhausen,95117
Landkreis Wesermarsch,88524
Landkreis Wittenberg,124185
Landkreis Wittmund,57384
Landkreis Wolfenbüttel,119361
Landkreis Wunsiedel im Fichtelgebirge,71974
Landkreis Würzburg,162697
Landkreis Zwickau,312033
Landshut,73065
Leipzig,597493
Leverkusen,163905
Lübeck,215846
Ludwigshafen am Rhein,172557
Magdeburg,235775
Main-Kinzig-Kreis,421689
Main-Tauber-Kreis,132684
Main-Taunus-Kreis,239264
Mainz,217123
Mannheim,309721
Märkischer Kreis,408662
Memmingen,44360
Mönchengladbach,259665
Mülheim an der Ruhr,170921
München,1488202
Münster,316403
Neckar-Odenwald-Kreis,143797
Neumünster,79905
Neustadt an der Weinstraße,53306
Nürnberg,515543
Oberbergischer Kreis,271699
Oberhausen,209566
Odenwaldkreis,96754
Offenbach am Main,130892
Oldenburg,169605
Ortenaukreis,432580
Osnabrück,164223
Ostalbkreis,314294
Passau,52415
Pforzheim,126016
Pirmasens,40176
Potsdam,182112
Regensburg,152270
Region Hannover,1155330
Regionalverband Saarbrücken,327502
Rems-Murr-Kreis,427286
Remscheid,111516
Rhein-Erft-Kreis,469611
Rhein-Hunsrück-Kreis,103401
Rhein-Kreis Neuss,452001
Rhein-Lahn-Kreis,122574
Rhein-Neckar-Kreis,548233
Rhein-Pfalz-Kreis,154754
Rhein-Sieg-Kreis,600375
Rheingau-Taunus-Kreis,187433
Rheinisch-Bergischer Kreis,283275
Rosenheim,63591
Rostock,209061
Saale-Holzland-Kreis,82816
Saale-Orla-Kreis,79632
Saalekreis,183434
Saarpfalz-Kreis,141656
Salzgitter,103866
Salzlandkreis,187457
Schwalm-Eder-Kreis,179840
Schwarzwald-Baar-Kreis,212872
Schweinfurt,53319
Schwerin,95609
Solingen,159193
Speyer,50741
Städteregion Aachen,556631
Straubing,47612
Stuttgart,630305
Suhl,36395
Trier,110674
Ulm,126405
Unstrut-Hainich-Kreis,101698
Vogelsbergkreis,105506
Vogtlandkreis,223905
Wartburgkreis,159937
Weimar,65098
Werra-Meißner-Kreis,100046
Westerwaldkreis,202830
Wetteraukreis,310353
Wiesbaden,278609
Wilhelmshaven,75189
Wolfsburg,123840
Worms,83459
Wuppertal,355004
Würzburg,126954
Zollernalbkreis,189862
Zweibrücken,34001
